city,state,primary_zip,county,valid_zips
"ADDIS","LA","70710","WEST BATON ROUGE","70710"
"ADDYSTON","OH","45001","HAMILTON","45001"
"ADDY","WA","99101","STEVENS","99101"
"ADELAIDE","CA","93446","SAN LUIS OBISPO","93446"
"ADELANTO","CA","92301","SAN BERNARDINO","92301"
"ADELL","WI","53001","SHEBOYGAN","53001"
"ADELPHIA","NJ","07710","MONMOUTH","07710"
"ADELPHI","MD","20783","PRINCE GEORGES","20783"
"ADELPHI","OH","43101","ROSS","43101"
"ADEL","GA","31620","COOK","31620"
"ADEL","IA","50003","DALLAS","50003"
"ADEL","OR","97620","LAKE","97620"
"ADENA","OH","43901","JEFFERSON","43901"
"ADGER","AL","35006","JEFFERSON","35006"
"ADIN","CA","96006","MODOC","96006"
"ADIRONDACK","NY","12808","WARREN","12808"
"ADKINS","TX","78101","BEXAR","78101"
"ADMIRE","KS","66830","LYON","66830"
"ADNA","WA","98522","LEWIS","98522"
"ADOLPHUS","KY","42120","ALLEN","42120"
"ADONA","AR","72001","PERRY","72001"
"ADRIAN","GA","31002","EMANUEL","31002"
"ADRIAN","MI","49221","LENAWEE","49221"
"ADRIAN","MN","56110","NOBLES","56110"
"ADRIAN","MO","64720","BATES","64720"
"ADRIAN","ND","58472","STUTSMAN","58472"
"ADRIAN","OR","97901","MALHEUR","97901"
"ADRIAN","PA","16210","ARMSTRONG","16210"
"ADRIAN","TX","79001","OLDHAM","79001"
"ADRIAN","WV","26210","UPSHUR","26210"
"ADVANCE MILLS","VA","22968","GREENE","22968"
"ADVANCE","IN","46102","BOONE","46102"
"ADVANCE","MO","63730","STODDARD","63730"
"ADVANCE","NC","27006","DAVIE","27006"
"ADVENT","WV","25231","JACKSON","25231"
"AFFTON","MO","63123","ST. LOUIS","63123"
"AFTON","IA","50830","UNION","50830"
"AFTON","MI","49705","CHEBOYGAN","49705"
"AFTON","MN","55001","WASHINGTON","55001"
"AFTON","NY","13730","CHENANGO","13730"
"AFTON","OK","74331","OTTAWA","74331"
"AFTON","TN","37616","GREENE","37616"
"AFTON","TX","79220","DICKENS","79220"
"AFTON","VA","22920","NELSON","22920"
"AFTON","WI","53501","ROCK","53501"
"AFTON","WY","83110","LINCOLN","83110"
"AGAR","SD","57520","SULLY","57520"
"AGATE","CO","80101","ELBERT","80101"
"AGATE","ND","58310","ROLETTE","58310"
"AGAWAM","MA","01001","HAMPDEN","01001"
"AGENCY VILLAGE","SD","57262","ROBERTS","57262"
"AGENCY","IA","52530","WAPELLO","52530"
"AGENCY","MO","64401","BUCHANAN","64401"
"AGENDA","KS","66930","REPUBLIC","66930"
"AGES BROOKSIDE","KY","40801","HARLAN","40801"
"AGNESS","OR","97406","CURRY","97406"
"AGNEW","NE","68428","LANCASTER","68428"
"AGNOS","AR","72513","SHARP","72513"
"AGOURA HILLS","CA","91301","LOS ANGELES","91301;91376"
"AGRA","KS","67621","PHILLIPS","67621"
"AGRA","OK","74824","LINCOLN","74824"
"AGRICOLA","MS","39452","GEORGE","39452"
"AGUA DULCE","CA","91350","LOS ANGELES","91350"
"AGUA DULCE","TX","78330","NUECES","78330"
"AGUANGA","CA","92536","RIVERSIDE","92536"
"AGUILAR","CO","81020","LAS ANIMAS","81020"
"AGUILA","AZ","85320","MARICOPA","85320"
"AH GWAH CHING","MN","56430","CASS","56430"
"AHMEEK","MI","49901","KEWEENAW","49901"
"AHOSKIE","NC","27910","HERTFORD","27910"
"AHSAHKA","ID","83520","CLEARWATER","83520"
"AHWAHNEE","CA","93601","MADERA","93601"
"AIEA","HI","96701","HONOLULU","96701"
"AIKEN","SC","29801","AIKEN","29801;29802;29803;29804;29805;29808"
"AIKEN","TX","79221","FLOYD","79221"
"AILEY","GA","30410","MONTGOMERY","30410"
"AIMWELL","LA","71401","CATAHOULA","71401"
"AINSWORTH","IA","52201","WASHINGTON","52201"
"AINSWORTH","NE","69210","BROWN","69210"
"AIRVILLE","PA","17302","YORK","17302"
"AIRWAY HEIGHTS","WA","99001","SPOKANE","99001"
"AITKIN","MN","56431","AITKIN","56431"
"AJO","AZ","85321","PIMA","85321"
"AKASKA","SD","57420","WALWORTH","57420"
"AKELEY","MN","56433","HUBBARD","56433"
"AKERS","LA","70421","TANGIPAHOA","70421"
"AKHIOK","AK","99615","KODIAK ISLAND BOROUGH","99615"
"AKIACHAK","AK","99551","BETHEL CENSUS AREA","99551"
"AKIAK","AK","99552","BETHEL CENSUS AREA","99552"
"AKRON","AL","35441","HALE","35441"
"AKRON","CO","80720","WASHINGTON","80720"
"AKRON","IA","51001","PLYMOUTH","51001"
"AKRON","IN","46910","FULTON","46910"
"AKRON","MI","48701","TUSCOLA","48701"
"AKRON","NY","14001","ERIE","14001"
"AKRON","OH","44301","SUMMIT","44301;44302;44303;44304;44305;44306;44307;44308;44309;44310;44311;44312;44313;44314;44315;44316;44317;44319;44320;44321;44322;44325;44326;44328;44333;44372;44396;44398"
"AKRON","PA","17501","LANCASTER","17501"
"AKUTAN","AK","99553","ALEUTIANS EAST BOROUGH","99553"
"ALABASTER","AL","35007","SHELBY","35007"
"ALACHUA","FL","32615","ALACHUA","32615;32616"
"ALADDIN","WY","82710","CROOK","82710"
"ALAKANUK","AK","99554","WADE HAMPTON CENSUS AREA","99554"
"ALAMANCE","NC","27201","ALAMANCE","27201"
"ALAMEDA","CA","94502","ALAMEDA","94501;94502"
"ALAMEDA","NM","87114","BERNALILLO","87114"
"ALAMO HEIGHTS","TX","78209","BEXAR","78209"
"ALAMOGORDO","NM","88310","OTERO","88310;88311"
"ALAMOSA","CO","81101","ALAMOSA","81101;81102"
"ALAMOTA","KS","67839","LANE","67839"
"ALAMO","CA","94507","CONTRA COSTA","94507"
"ALAMO","GA","30411","WHEELER","30411"
"ALAMO","IN","47916","MONTGOMERY","47916"
"ALAMO","ND","58830","WILLIAMS","58830"
"ALAMO","NM","87825","SOCORRO","87825"
"ALAMO","NV","89001","LINCOLN","89001"
"ALAMO","TN","38001","CROCKETT","38001"
"ALAMO","TX","78516","HIDALGO","78516"
"ALANREED","TX","79002","GRAY","79002"
"ALANSON","MI","49706","EMMET","49706"
"ALAPAHA","GA","31622","BERRIEN","31622"
"ALBANY","CA","94706","ALAMEDA","94706"
"ALBANY","GA","31701","DOUGHERTY","31701;31702;31703;31704;31705;31706;31707;31708;31721"
"ALBANY","IL","61230","WHITESIDE","61230"
"ALBANY","IN","47320","DELAWARE","47320"
"ALBANY","KY","42602","CLINTON","42602"
"ALBANY","LA","70711","LIVINGSTON","70711"
"ALBANY","MN","56307","STEARNS","56307"
"ALBANY","MO","64402","GENTRY","64402"
"ALBANY","NY","12202","ALBANY","12201;12202;12203;12204;12205;12206;12207;12208;12209;12210;12211;12212;12214;12220;12222;12223;12224;12225;12226;12227;12228;12229;12230;12231;12232;12233;12234;12235;12236;12237;12238;12239;12240;12241;12242;12243;12244;12245;12246;12247;12248;12249;12250;12252;12255;12256;12257;12260;12261;12288"
"ALBANY","OH","45710","ATHENS","45710"
"ALBANY","OK","74721","BRYAN","74721"
"ALBANY","OR","97321","LINN","97321;97322"
"ALBANY","TX","76430","SHACKELFORD","76430"
"ALBANY","VT","05820","ORLEANS","05820"
"ALBANY","WI","53502","GREEN","53502"
"ALBA","MI","49611","ANTRIM","49611"
"ALBA","MO","64830","JASPER","64830"
"ALBA","PA","16910","BRADFORD","16910"
"ALBA","TX","75410","WOOD","75410"
"ALBEE","SD","57259","GRANT","57259"
"ALBEMARLE","NC","28001","STANLY","28001;28002"
"ALBERENE","VA","22959","ALBEMARLE","22959"
"ALBERS","IL","62215","CLINTON","62215"
"ALBERT CITY","IA","50510","BUENA VISTA","50510"
"ALBERT LEA","MN","56007","FREEBORN","56007"
"ALBERTA","AL","36720","WILCOX","36720"
"ALBERTA","MN","56207","STEVENS","56207"
"ALBERTA","VA","23821","BRUNSWICK","23821"
"ALBERTON","MT","59820","MISSOULA","59820"
"ALBERTSON","NC","28508","DUPLIN","28508"
"ALBERTSON","NY","11507","NASSAU","11507"
"ALBERTVILLE","AL","35950","MARSHALL","35950;35951"
"ALBERTVILLE","MN","55301","WRIGHT","55301"
"ALBERT","KS","67511","BARTON","67511"
"ALBERT","NM","87733","HARDING","87733"
"ALBERT","OK","73001","CADDO","73001"
"ALBERT","TX","78671","GILLESPIE","78671"
"ALBIA","IA","52531","MONROE","52531"
"ALBIN","WY","82050","LARAMIE","82050"
"ALBION","CA","95410","MENDOCINO","95410"
"ALBION","IA","50005","MARSHALL","50005"
"ALBION","ID","83311","CASSIA","83311"
"ALBION","IL","62806","EDWARDS","62806"
"ALBION","IN","46701","NOBLE","46701"
"ALBION","ME","04910","KENNEBEC","04910"
"ALBION","MI","49224","CALHOUN","49224"
"ALBION","NE","68620","BOONE","68620"
"ALBION","NY","14411","ORLEANS","14411"
"ALBION","OK","74521","PUSHMATAHA","74521"
"ALBION","PA","16401","ERIE","16401;16475"
"ALBION","RI","02802","PROVIDENCE","02802"
"ALBION","WA","99102","WHITMAN","99102"
"ALBORN","MN","55702","ST. LOUIS","55702"
"ALBRIGHTSVILLE","PA","18210","CARBON","18210"
"ALBRIGHT","WV","26519","PRESTON","26519"
"ALBUQUERQUE","NM","87102","BERNALILLO","87101;87102;87103;87104;87105;87106;87107;87108;87109;87110;87111;87112;87113;87114;87115;87116;87118;87119;87120;87121;87122;87123;87125;87131;87151;87153;87154;87158;87176;87181;87184;87185;87187;87190;87191;87192;87193;87194;87195;87196;87197;87198;87199"
"ALBURGH","VT","05440","GRAND ISLE","05440"
"ALBURG","VT","05440","GRAND ISLE","05440"
"ALBURNETT","IA","52202","LINN","52202"
"ALBURTIS","PA","18011","LEHIGH","18011"
"ALCALDE","KY","42501","PULASKI","42501"
"ALCALDE","NM","87511","RIO ARRIBA","87511"
"ALCESTER","SD","57001","UNION","57001"
"ALCOA","TN","37701","BLOUNT","37701"
"ALCOLU","SC","29001","CLARENDON","29001"
"ALCOVA","WY","82620","NATRONA","82620"
"ALCOVE","NY","12007","ALBANY","12007"
"ALCO","AR","72610","SEARCY","72610"
"ALDA","NE","68810","HALL","68810"
"ALDEN MANOR","NY","11003","NASSAU","11003"
"ALDEN","AL","35073","JEFFERSON","35073"
"ALDEN","IA","50006","HARDIN","50006"
"ALDEN","IL","60001","MCHENRY","60001"
"ALDEN","KS","67512","RICE","67512"
"ALDEN","MI","49612","ANTRIM","49612"
"ALDEN","MN","56009","FREEBORN","56009"
"ALDEN","NY","14004","ERIE","14004"
"ALDER CREEK","NY","13301","ONEIDA","13301"
"ALDERPOINT","CA","95511","HUMBOLDT","95511"
"ALDERSON","OK","74522","PITTSBURG","74522"
"ALDERSON","WV","24910","GREENBRIER","24910"
"ALDER","MT","59710","MADISON","59710"
"ALDIE","VA","20105","LOUDOUN","20105"
"ALDRICH","MN","56434","WADENA","56434"
"ALDRICH","MO","65601","POLK","65601"
"ALEDO","IL","61231","MERCER","61231"
"ALEDO","TX","76008","PARKER","76008"
"ALEKNAGIK","AK","99555","DILLINGHAM CENSUS AREA","99555"
"ALEPPO","PA","15310","GREENE","15310"
"ALEXANDER CITY","AL","35010","TALLAPOOSA","35010;35011"
"ALEXANDER MILLS","NC","28043","RUTHERFORD","28043"
"ALEXANDER","AR","72002","SALINE","72002"
"ALEXANDER","IA","50420","FRANKLIN","50420"
"ALEXANDER","IL","62601","MORGAN","62601"
"ALEXANDER","KS","67513","RUSH","67513"
"ALEXANDER","NC","28701","BUNCOMBE","28701"
"ALEXANDER","ND","58831","MCKENZIE","58831"
"ALEXANDER","NY","14005","GENESEE","14005"
"ALEXANDER","WV","26218","UPSHUR","26218"
"ALEXANDRIA BAY","NY","13607","JEFFERSON","13607"
"ALEXANDRIA","AL","36250","CALHOUN","36250"
"ALEXANDRIA","IN","46001","MADISON","46001"
"ALEXANDRIA","KY","41001","CAMPBELL","41001"
"ALEXANDRIA","LA","71301","RAPIDES","71301;71302;71303;71306;71307;71309;71315"
"ALEXANDRIA","MN","56308","DOUGLAS","56308"
"ALEXANDRIA","MO","63430","CLARK","63430"
"ALEXANDRIA","NE","68303","THAYER","68303"
"ALEXANDRIA","OH","43001","LICKING","43001"
"ALEXANDRIA","PA","16611","HUNTINGDON","16611"
"ALEXANDRIA","SD","57311","HANSON","57311"
"ALEXANDRIA","TN","37012","DEKALB","37012"
"ALEXANDRIA","VA","22301","ALEXANDRIA CITY","22301;22302;22303;22304;22305;22306;22307;22308;22309;22310;22311;22312;22313;22314;22315;22320;22331;22332;22333;22334;22350"
"ALEXIS","IL","61412","WARREN","61412"
"ALEXIS","NC","28006","GASTON","28006"
"ALEX","OK","73002","GRADY","73002"
"ALFORD","FL","32420","JACKSON","32420"
"ALFRED STATION","NY","14803","ALLEGANY","14803"
"ALFRED","ME","04002","YORK","04002"
"ALFRED","NY","14802","ALLEGANY","14802"
"ALGER","MI","48610","OGEMAW","48610"
"ALGER","OH","45812","HARDIN","45812"
"ALGODONES","NM","87001","SANDOVAL","87001"
"ALGOMA","MS","38820","PONTOTOC","38820"
"ALGOMA","WI","54201","KEWAUNEE","54201"
"ALGOMA","WV","24868","MCDOWELL","24868"
"ALGONAC","MI","48001","ST. CLAIR","48001"
"ALGONA","IA","50511","KOSSUTH","50511"
"ALGONA","WA","98001","KING","98001"
"ALGONQUIN","IL","60102","MCHENRY","60102"
"ALGOOD","TN","38501","PUTNAM","38501"
"ALHAMBRA","CA","91801","LOS ANGELES","91801;91802;91803;91804;91896;91899"
"ALHAMBRA","IL","62001","MADISON","62001"
"ALICEVILLE","AL","35442","PICKENS","35442"
"ALICE","TX","78332","JIM WELLS","78332;78333"
"ALICIA","AR","72410","LAWRENCE","72410"
"ALIEF","TX","77411","HARRIS","77411"
"ALINE","OK","73716","ALFALFA","73716"
"ALIQUIPPA","PA","15001","BEAVER","15001"
"ALISO VIEJO","CA","92656","ORANGE","92656;92698"
"ALIX","AR","72820","FRANKLIN","72820"
"ALKABO","ND","58845","WILLIAMS","58845"
"ALKOL","WV","25501","LINCOLN","25501"
"ALLAKAKET","AK","99720","YUKON-KOYUKUK CENSUS AREA","99720"
"ALLAMUCHY","NJ","07820","WARREN","07820"
"ALLARDT","TN","38504","FENTRESS","38504"
"ALLEDONIA","OH","43902","BELMONT","43902"
"ALLEENE","AR","71820","LITTLE RIVER","71820"
"ALLEGANY","NY","14706","CATTARAUGUS","14706"
"ALLEGANY","OR","97407","COOS","97407"
"ALLEGAN","MI","49010","ALLEGAN","49010"
"ALLEGHANY","CA","95910","SIERRA","95910"
"ALLEGHANY","VA","24426","ALLEGHANY","24426"
"ALLEGHENY","PA","15212","ALLEGHENY","15212"
"ALLEMAN","IA","50007","POLK","50007"
"ALLEN JUNCTION","WV","25810","WYOMING","25810"
"ALLEN PARK","MI","48101","WAYNE","48101"
"ALLENDALE","IL","62410","WABASH","62410"
"ALLENDALE","MI","49401","OTTAWA","49401"
"ALLENDALE","MO","64420","WORTH","64420"
"ALLENDALE","NJ","07401","BERGEN","07401"
"ALLENDALE","SC","29810","ALLENDALE","29810"
"ALLENHURST","GA","31301","LIBERTY","31301"
"ALLENHURST","NJ","07711","MONMOUTH","07711"
"ALLENPORT","PA","15412","WASHINGTON","15412"
"ALLENSPARK","CO","80510","BOULDER","80510"
"ALLENSTOWN","NH","03275","MERRIMACK","03275"
"ALLENSVILLE","KY","42204","TODD","42204"
"ALLENSVILLE","OH","45651","VINTON","45651"
"ALLENSVILLE","PA","17002","MIFFLIN","17002"
"ALLENTON","MI","48002","ST. CLAIR","48002"
"ALLENTON","WI","53002","WASHINGTON","53002"
"ALLENTOWN","GA","31003","WILKINSON","31003"
"ALLENTOWN","NJ","08501","MONMOUTH","08501"
"ALLENTOWN","NY","14707","ALLEGANY","14707"
"ALLENTOWN","PA","18101","LEHIGH","18101;18102;18103;18104;18105;18106;18109;18195"
"ALLENWOOD","NJ","08720","MONMOUTH","08720"
"ALLENWOOD","PA","17810","UNION","17810"
"ALLEN","IL","62682","MASON","62682"
"ALLEN","KS","66833","LYON","66833"
"ALLEN","KY","41601","FLOYD","41601"
"ALLEN","MD","21810","WICOMICO","21810"
"ALLEN","MI","49227","HILLSDALE","49227"
"ALLEN","NE","68710","DIXON","68710"
"ALLEN","OK","74825","PONTOTOC","74825"
"ALLEN","SD","57714","BENNETT","57714"
"ALLEN","TX","75002","COLLIN","75002;75013"
"ALLERTON","IA","50008","WAYNE","50008"
"ALLERTON","IL","61810","VERMILION","61810"
"ALLEYTON","TX","78935","COLORADO","78935"
"ALLGOOD","AL","35013","BLOUNT","35013"
"ALLIANCE","NC","28509","PAMLICO","28509"
"ALLIANCE","NE","69301","BOX BUTTE","69301"
"ALLIANCE","OH","44601","STARK","44601"
"ALLIGATOR","MS","38720","COAHOMA","38720"
"ALLISON PARK","PA","15101","ALLEGHENY","15101"
"ALLISONIA","VA","24347","PULASKI","24347"
"ALLISON","IA","50602","BUTLER","50602"
"ALLISON","PA","15413","FAYETTE","15413"
"ALLISON","TX","79003","WHEELER","79003"
"ALLONS","TN","38541","OVERTON","38541"
"ALLOUEZ","MI","49805","KEWEENAW","49805"
"ALLOUEZ","WI","54301","BROWN","54301"
"ALLOWAY","NJ","08001","SALEM","08001"
"ALLOY","WV","25002","FAYETTE","25002"
"ALLPORT","PA","16821","CLEARFIELD","16821"
"ALLRED","TN","38542","OVERTON","38542"
"ALLSTON","MA","02134","SUFFOLK","02134"
"ALLYN","WA","98524","MASON","98524"
"ALMA CENTER","WI","54611","JACKSON","54611"
"ALMA","AL","36501","CLARKE","36501"
"ALMA","AR","72921","CRAWFORD","72921"
"ALMA","CO","80420","PARK","80420"
"ALMA","GA","31510","BACON","31510"
"ALMA","IL","62807","MARION","62807"
"ALMA","KS","66401","WABAUNSEE","66401"
"ALMA","MI","48801","GRATIOT","48801"
"ALMA","MO","64001","LAFAYETTE","64001"
"ALMA","NE","68920","HARLAN","68920"
"ALMA","NY","14708","ALLEGANY","14708"
"ALMA","WI","54610","BUFFALO","54610"
"ALMA","WV","26320","TYLER","26320"
"ALMELUND","MN","55002","CHISAGO","55002"
"ALMENA","KS","67622","NORTON","67622"
"ALMENA","WI","54805","BARRON","54805"
"ALMERIA","NE","68879","LOUP","68879"
"ALMIRA","WA","99103","LINCOLN","99103"
"ALMOND","NC","28702","SWAIN","28702"
"ALMOND","NY","14804","ALLEGANY","14804"
"ALMOND","WI","54909","PORTAGE","54909"
"ALMONT","CO","81210","GUNNISON","81210"
"ALMONT","MI","48003","LAPEER","48003"
"ALMONT","ND","58520","MORTON","58520"
"ALMO","ID","83312","CASSIA","83312"
"ALMO","KY","42020","CALLOWAY","42020"
"ALMYRA","AR","72003","ARKANSAS","72003"
"ALNA","ME","04535","LINCOLN","04535"
"ALOHA","OR","97006","WASHINGTON","97006;97007"
"ALOMA","FL","32792","ORANGE","32792"
"ALORTON","IL","62207","ST. CLAIR","62207"
"ALPAUGH","CA","93201","TULARE","93201"
"ALPENA","AR","72611","CARROLL","72611"
"ALPENA","MI","49707","ALPENA","49707"
"ALPENA","SD","57312","JERAULD","57312"
"ALPHARETTA","GA","30004","FULTON","30004;30005;30009;30022;30023"
"ALPHA","IL","61413","HENRY","61413"
"ALPHA","KY","42603","WAYNE","42603"
"ALPHA","MI","49902","IRON","49902"
"ALPHA","MN","56111","JACKSON","56111"
"ALPHA","NJ","08865","WARREN","08865"
"ALPHA","OH","45301","GREENE","45301"
"ALPINE","AL","35014","TALLADEGA","35014"
"ALPINE","AR","71920","CLARK","71920"
"ALPINE","AZ","85920","APACHE","85920"
"ALPINE","CA","91901","SAN DIEGO","91901;91903"
"ALPINE","NJ","07620","BERGEN","07620"
"ALPINE","NY","14805","SCHUYLER","14805"
"ALPINE","TN","38543","OVERTON","38543"
"ALPINE","TX","79830","BREWSTER","79830;79831;79832"
"ALPINE","UT","84004","UTAH","84004"
"ALPINE","WY","83128","LINCOLN","83128"
"ALPLAUS","NY","12008","SCHENECTADY","12008"
"ALSEA","OR","97324","BENTON","97324"
"ALSEN","ND","58311","CAVALIER","58311"
"ALSEY","IL","62610","SCOTT","62610"
"ALSIP","IL","60803","COOK","60803"
"ALSTEAD","NH","03602","CHESHIRE","03602"
"ALSTON","GA","30412","MONTGOMERY","30412"
"ALTA LOMA","CA","91701","SAN BERNARDINO","91701;91737"
"ALTA LOMA","TX","77510","GALVESTON","77510"
"ALTA VISTA","IA","50603","CHICKASAW","50603"
"ALTA VISTA","KS","66834","WABAUNSEE","66834"
"ALTADENA","CA","91001","LOS ANGELES","91001;91003"
"ALTAIR","TX","77412","COLORADO","77412"
"ALTAMAHAW","NC","27202","ALAMANCE","27202"
"ALTAMONTE SPRINGS","FL","32701","SEMINOLE","32701;32714;32715;32716"
"ALTAMONTE SPRING","FL","32701","SEMINOLE","32701"
"ALTAMONT","IL","62411","EFFINGHAM","62411"
"ALTAMONT","KS","67330","LABETTE","67330"
"ALTAMONT","MO","64620","DAVIESS","64620"
"ALTAMONT","NY","12009","ALBANY","12009"
"ALTAMONT","SD","57226","DEUEL","57226"
"ALTAMONT","TN","37301","GRUNDY","37301"
"ALTAMONT","UT","84001","DUCHESNE","84001"
"ALTAVILLE","CA","95221","CALAVERAS","95221"
"ALTAVISTA","VA","24517","CAMPBELL","24517"
"ALTA","CA","95701","PLACER","95701"
"ALTA","IA","51002","BUENA VISTA","51002"
"ALTA","UT","84092","SALT LAKE","84092"
"ALTA","WY","83414","TETON","83414"
